latitude,longitude,street_address,state,city,zip,country,id,open_date,fuel_type_code
44.46616,-73.177758,180 Market St,VT,South Burlington,05403,US,193852,2021-08-13,ELEC
44.46615,-73.177695,180 Market St,VT,South Burlington,05403,US,193853,2021-08-13,ELEC
44.466118,-73.177555,180 Market St,VT,South Burlington,05403,US,193854,2021-08-13,ELEC
44.46591,-73.177326,180 Market St,VT,South Burlington,05403,US,193850,2021-08-13,ELEC
44.466105,-73.177487,180 Market St,VT,South Burlington,05403,US,193851,2021-08-13,ELEC
44.46062,-73.216201,BE14 175 Lakeside Ave,VT,Burlington,05401,US,193835,2021-08-13,ELEC
44.466131,-73.177621,180 Market St,VT,South Burlington,05403,US,193918,2021-08-14,ELEC
42.877428,-73.197792,205 South St,VT,Bennington,05201,US,193988,2021-08-18,ELEC
44.3395601,-72.759181,28 North Main Street,VT,Waterbury,05676,US,194812,2021-09-02,ELEC
42.932062,-73.242035,2 Depot,VT,North Bennington,05257,US,194948,2021-09-02,ELEC
44.3614903,-73.2354142,6655 Shelburne Road,VT,Shelburne,05482,US,195061,2021-09-04,ELEC
44.263329,-72.5841557,Bailey Avenue,VT,Montpelier,05602,US,195142,2021-09-05,ELEC
43.9843326,-72.1229185,586 Lower Plain,VT,Bradford,05033,US,195158,2021-09-05,ELEC
43.5838956,-72.9699101,47 Farrell Road,VT,Rutland,05701,US,195160,2021-09-05,ELEC
44.4936268,-73.164069,20 Campus Road,VT,Colchester,05439,US,195507,2021-09-07,ELEC
44.476638,-72.715803,100 Cottage Club Rd,VT,Stowe,05672,US,196462,2021-09-29,ELEC
43.606056,-72.98137,90 Shopping Plaza Rd,VT,Rutland,05701,US,228677,2021-10-25,ELEC
44.409435,-73.217765,74 Champlain Dr,VT,Shelburne,05482,US,63825,2021-10-26,ELEC
42.969492,-72.886527,3 Greenspring Rd,VT,West Dover,05356,US,227413,2021-10-29,ELEC
44.482498,-73.214586,73 Peru St,VT,Burlington,05401,US,227406,2021-10-29,ELEC
44.4556987,-73.2139588,316 Flynn Ave,VT,Burlington,05401,US,227409,2021-10-29,ELEC
43.714492,-72.308587,319 Main St,VT,Norwich,05055,US,199405,2021-10-29,ELEC
43.894142,-73.313178,51 Inn Rd,VT,Shoreham,05770,US,203104,2021-11-05,ELEC
44.58539,-72.78111,411 W Hill Dr,VT,Cambridge,05464,US,201820,2021-12-01,ELEC
44.440117,-73.209008,1030 Shelburne Rd,VT,South Burlington,05403,US,202015,2021-12-04,ELEC
44.472342,-72.708088,1613 Mountain Rd,VT,Stowe,05672,US,202451,2021-12-14,ELEC
42.87913,-73.19311,215  Pleasant Street,VT,Bennington,05201,US,202487,2021-12-14,ELEC
44.187734,-72.833872,46 Carroll Rd,VT,Waitsfield,05673,US,202861,2021-12-21,ELEC
44.187741,-72.833781,46 Carroll Rd,VT,Waitsfield,05673,US,202858,2021-12-21,ELEC
44.187688,-72.833771,46 Carroll Rd,VT,Waitsfield,05673,US,202859,2021-12-21,ELEC
44.187712,-72.833739,46 Carroll Rd,VT,Waitsfield,05673,US,202860,2021-12-21,ELEC
44.187787,-72.833842,46 Carroll Rd,VT,Waitsfield,05673,US,202862,2021-12-21,ELEC
44.187711,-72.833822,46 Carroll Rd,VT,Waitsfield,05673,US,202863,2021-12-21,ELEC
44.465091,-72.727515,413 Barrows Rd,VT,Stowe,05672,US,204651,2022-01-12,ELEC
43.609023,-72.975392,10 Lincoln Ave,VT,Rutland,05701,US,204756,2022-01-14,ELEC
44.467645,-73.182305,5 Dorset St,VT,South Burlington,05403,US,204772,2022-01-14,ELEC
44.467648,-73.182271,5 Dorset St,VT,South Burlington,05403,US,204945,2022-01-15,ELEC
42.879495,-73.198209,107 Depot St,VT,Bennington,05201,US,204973,2022-01-18,ELEC
44.473871,-72.713107,1813 Mountain Rd,VT,Stowe,05672,US,205732,2022-02-03,ELEC
43.382305,-72.6382,7 Depot St,VT,Cavendish,05153,US,206423,2022-02-16,ELEC
43.646717,-72.334306,18&42 Sykes Mountain Ave,VT,Hartford,05001,US,206749,2022-02-19,ELEC
43.646735,-72.334272,18 & 42 Sykes Mountain Ave,VT,Hartford,05001,US,206750,2022-02-19,ELEC
43.636947,-72.795256,2910 Killington Rd,VT,Killington,05751,US,207125,2022-02-25,ELEC
43.63694,-72.795146,2910 Killington Rd,VT,Killington,05751,US,207126,2022-02-25,ELEC
43.636944,-72.795235,2910 Killington Rd,VT,Killington,05751,US,207127,2022-02-25,ELEC
44.5048169,-72.3590094,4 Slapp Hill Road,VT,Hardwick,05843,US,212589,2022-03-01,ELEC
44.8171928,-71.8839747,82 Maple Street,VT,Island Pond,05846,US,212587,2022-03-01,ELEC
44.448162,-72.012803,185 Sherman Drive,VT,St. Johnsbury,05819,US,212591,2022-03-02,ELEC
44.8101285,-72.1987565,11 Union Street,VT,Orleans,05860,US,212586,2022-03-03,ELEC
44.4438712,-71.8781028,201 E. Main Street,VT,Concord,05824,US,212592,2022-03-03,ELEC
44.5064228,-72.3647903,151 N. Main Street,VT,Hardwick,05843,US,212588,2022-03-03,ELEC
44.4071827,-72.1407709,26 Cedar Lane,VT,Danville,05828,US,212590,2022-03-03,ELEC
44.9135765,-72.7979082,281  Elm Street,VT,Enosburg Falls,05450,US,250888,2022-03-31,ELEC
